title,company,location,date,summary,url
Physical Scientist Inventory,Environment and Climate Change Canada,"Edmonton, AB",30+ days ago,Knowledge of approaches to quality control and quality assurance related to data collection or data management. Rates of pay for public service employees....,https://www.indeed.ca//rc/clk?jk=2a48ef8cfb902a4a&fccid=d45e6800befca5fb&vjs=3
#28-1907-SO- SP Junior Environmental Scientist,Millennium EMS Solutions,"Sherwood Park, AB",9 days ago,"Data management and data entry using MS access databases. Currently we employ over 140 employees in various disciplines including, hydrogeologists, engineers,...",https://www.indeed.ca//rc/clk?jk=e75a78f1266f79f5&fccid=930950bd60de2141&vjs=3
Technician/Associate Scientist,Entos Pharmaceuticals,"Edmonton, AB",28 days ago,Compiling data and performing preliminary data analysis and interpretation. Entos Pharmaceuticals is an Edmonton-based biotechnology company developing next...,https://www.indeed.ca//company/Entos-pharmaceuticals/jobs/Technician-Associate-Scientist-9929469bec6c370d?fccid=4d16c30714440ab2&vjs=3
Data Scientist – Wireline Service Operations Centre (WSoC),TELUS Communications,"Edmonton, AB",30+ days ago,"Design and implement statistical data quality procedures for new data sources. Sought out for your application of data mining, predictive modeling, statistics...",https://www.indeed.ca//rc/clk?jk=fe13c9f16dc70be5&fccid=4512634d9e7338a8&vjs=3
Jr. Geotechnical Engineer,Tetra Tech,"Edmonton, AB",2 days ago,"Analyzing field data and preparing detailed engineering reports and recommendations. From our roots (as EBA Engineering Consultants), and now Tetra Tech Canada,...",https://www.indeed.ca//rc/clk?jk=a8da71e3ca044b2f&fccid=997110e6d9c4c093&vjs=3
Junior Administrative Assistant,Tetra Tech,"Edmonton, AB",7 days ago,"Data entry and word processing, including proofing of work. From our roots (as EBA Engineering Consultants), and now Tetra Tech Canada, we have progressively...",https://www.indeed.ca//rc/clk?jk=9f8f26eb473686d5&fccid=997110e6d9c4c093&vjs=3
"Scientist, Human Genomics",Destiny Bioscience Global Corp.,"Nisku, AB",3 days ago,Experience in high-dimensional data management and analysis skills. Destiny Bioscience is looking for a scientist to work with a multidisciplinary team...,https://www.indeed.ca//company/Destiny-Bioscience-Global-Corp./jobs/Scientist-c50426af10fe15d3?fccid=a7e0e8dc1e65fc95&vjs=3
Director of Data Science,AltaML Inc./Janalta Interactive Inc.,"Edmonton, AB",30+ days ago,Set the direction for building a high performing culture of data scientists and ML engineers. Humble – Listen to the data. Who we are looking for:....,https://www.indeed.ca//rc/clk?jk=40db3cd9efa844c7&fccid=ec29960f5738501b&vjs=3
Water Quality Scientist,Golder Associates,"Edmonton, AB",30+ days ago,"Performing and directing data analysis. Experience with leading and completing water quality field data collection programs. At Golder, we thrive on challenges....",https://www.indeed.ca//rc/clk?jk=ad47d858ac7b04b3&fccid=e3b502a5b609fca4&vjs=3
"Scientist, Wildfire Operations",FPInnovations,"Edmonton, AB",30+ days ago,Collaborate with and support fellow scientists in the collection and analysis of field data. Scientists are required to work independently and in a...,https://www.indeed.ca//company/FPInnovations/jobs/Scientist-67a46340aee46622?fccid=b32a24eba437ab22&vjs=3
